date,ticker,name,sector,industry,country,marketCap,price,change,volume
2022-03-22T00:00:00.0000000,TCN,Tricon Residential Inc.,Real Estate,Real Estate Services,Canada,0,17.01,0,0
2022-03-22T00:00:00.0000000,UNVR,Univar Solutions Inc.,Basic Materials,Chemicals,USA,0,33.78,0,0
2022-03-22T00:00:00.0000000,LNTH,"Lantheus Holdings, Inc.",Healthcare,Diagnostics & Research,USA,0,55.69,0,0
2022-03-22T00:00:00.0000000,TRTN,Triton International Limited,Industrials,Rental & Leasing Services,Bermuda,0,71.41,0,0
2022-03-22T00:00:00.0000000,IRTC,"iRhythm Technologies, Inc.",Healthcare,Medical Instruments & Supplies,USA,0,145.47,0,0
2022-03-22T00:00:00.0000000,OSBC,"Old Second Bancorp, Inc.",Financial,Banks - Regional,USA,0,15.04,0,0
2022-03-22T00:00:00.0000000,JOE,The St. Joe Company,Real Estate,Real Estate - Diversified,USA,0,58.80,0,0
2022-03-23T00:00:00.0000000,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,0,89.09,0,0
2022-03-23T00:00:00.0000000,VIV,Telefonica Brasil S.A.,Communication Services,Telecom Services,Brazil,0,10.98,0,0
2022-03-23T00:00:00.0000000,FWONK,Formula One Group,Communication Services,Broadcasting,USA,0,65.50,0,0
2022-03-23T00:00:00.0000000,EC,Ecopetrol S.A.,Energy,Oil & Gas Integrated,Colombia,0,18.66,0,0
2022-03-23T00:00:00.0000000,GNK,Genco Shipping & Trading Limited,Industrials,Marine Shipping,USA,0,23.34,0,0
2022-03-23T00:00:00.0000000,IPI,"Intrepid Potash, Inc.",Basic Materials,Agricultural Inputs,USA,0,87.04,0,0
2022-03-23T00:00:00.0000000,LXU,"LSB Industries, Inc.",Basic Materials,Chemicals,USA,0,23.94,0,0
2022-03-23T00:00:00.0000000,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,0,50.40,0,0
2022-03-23T00:00:00.0000000,BAP,Credicorp Ltd.,Financial,Banks - Regional,Peru,0,177.92,0,0
2022-03-23T00:00:00.0000000,CIB,Bancolombia S.A.,Financial,Banks - Regional,Colombia,0,41.53,0,0
2022-03-23T00:00:00.0000000,UAN,"CVR Partners, LP",Basic Materials,Agricultural Inputs,USA,0,139.08,0,0
2022-03-24T00:00:00.0000000,CLF,Cleveland-Cliffs Inc.,Basic Materials,Steel,USA,0,32.67,0,0
2022-03-24T00:00:00.0000000,AZN,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,United Kingdom,0,66.02,0,0
2022-03-24T00:00:00.0000000,EQT,EQT Corporation,Energy,Oil & Gas E&P,USA,0,30.74,0,0
2022-03-24T00:00:00.0000000,MP,MP Materials Corp.,Basic Materials,Other Industrial Metals & Mining,USA,0,56.50,0,0
2022-03-24T00:00:00.0000000,CRK,"Comstock Resources, Inc.",Energy,Oil & Gas E&P,USA,0,11.82,0,0
2022-03-24T00:00:00.0000000,VIV,Telefonica Brasil S.A.,Communication Services,Telecom Services,Brazil,0,10.99,0,0
2022-03-24T00:00:00.0000000,GFS,GLOBALFOUNDRIES Inc.,Technology,Semiconductors,USA,0,76.22,0,0
2022-03-24T00:00:00.0000000,SSRM,SSR Mining Inc.,Basic Materials,Gold,Canada,0,21.96,0,0
2022-03-24T00:00:00.0000000,GLNG,Golar LNG Limited,Energy,Oil & Gas Midstream,Bermuda,0,22.47,0,0
2022-03-24T00:00:00.0000000,TMST,TimkenSteel Corporation,Basic Materials,Steel,USA,0,23.89,0,0
2022-03-24T00:00:00.0000000,AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,Luxembourg,0,12.47,0,0
2022-03-24T00:00:00.0000000,ATSG,"Air Transport Services Group, Inc.",Industrials,Integrated Freight & Logistics,USA,0,34.15,0,0
2022-03-24T00:00:00.0000000,IPI,"Intrepid Potash, Inc.",Basic Materials,Agricultural Inputs,USA,0,88.33,0,0
2022-03-24T00:00:00.0000000,SRTS,"Sensus Healthcare, Inc.",Healthcare,Medical Devices,USA,0,11.84,0,0
2022-03-24T00:00:00.0000000,VAL,Valaris Limited,Energy,Oil & Gas Drilling,Bermuda,0,51.02,0,0
2022-03-24T00:00:00.0000000,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,0,51.78,0,0
2022-03-24T00:00:00.0000000,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,0,50.93,0,0
2022-03-24T00:00:00.0000000,UAN,"CVR Partners, LP",Basic Materials,Agricultural Inputs,USA,0,147.59,0,0
2022-03-24T00:00:00.0000000,GLP,Global Partners LP,Energy,Oil & Gas Midstream,USA,0,28.91,0,0
2022-03-25T00:00:00.0000000,EQT,EQT Corporation,Energy,Oil & Gas E&P,USA,0,34.33,0,0
2022-03-25T00:00:00.0000000,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,0,28.91,0,0
2022-03-25T00:00:00.0000000,RRC,Range Resources Corporation,Energy,Oil & Gas E&P,USA,0,31.51,0,0
2022-03-25T00:00:00.0000000,CNX,CNX Resources Corporation,Energy,Oil & Gas E&P,USA,0,21.65,0,0
2022-03-25T00:00:00.0000000,JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment,USA,0,36.52,0,0
2022-03-25T00:00:00.0000000,GLNG,Golar LNG Limited,Energy,Oil & Gas Midstream,Bermuda,0,24.47,0,0
2022-03-25T00:00:00.0000000,GFS,GLOBALFOUNDRIES Inc.,Technology,Semiconductors,USA,0,78.94,0,0
2022-03-25T00:00:00.0000000,LNG,"Cheniere Energy, Inc.",Energy,Oil & Gas Midstream,USA,0,149.30,0,0
2022-03-25T00:00:00.0000000,CHK,Chesapeake Energy Corporation,Energy,Oil & Gas E&P,USA,0,89.32,0,0
2022-03-25T00:00:00.0000000,RADA,RADA Electronic Industries Ltd.,Industrials,Aerospace & Defense,Israel,0,16.43,0,0
2022-03-25T00:00:00.0000000,BG,Bunge Limited,Consumer Defensive,Farm Products,USA,0,117.21,0,0
2022-03-25T00:00:00.0000000,CRC,California Resources Corporation,Energy,Oil & Gas E&P,USA,0,49.48,0,0
2022-03-25T00:00:00.0000000,CIVI,"Civitas Resources, Inc.",Energy,Oil & Gas E&P,USA,0,64.62,0,0
2022-03-25T00:00:00.0000000,FLNG,FLEX LNG Ltd.,Energy,Oil & Gas Midstream,Bermuda,0,28.77,0,0
2022-03-25T00:00:00.0000000,BSM,"Black Stone Minerals, L.P.",Energy,Oil & Gas E&P,USA,0,13.45,0,0
2022-03-25T00:00:00.0000000,CEIX,CONSOL Energy Inc.,Energy,Thermal Coal,USA,0,40.69,0,0
2022-03-25T00:00:00.0000000,LPG,Dorian LPG Ltd.,Energy,Oil & Gas Midstream,USA,0,14.86,0,0
2022-03-25T00:00:00.0000000,RCI,Rogers Communications Inc.,Communication Services,Telecom Services,Canada,0,54.64,0,0
2022-03-25T00:00:00.0000000,SJR,Shaw Communications Inc.,Communication Services,Telecom Services,Canada,0,31.41,0,0
2022-03-25T00:00:00.0000000,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,0,55.21,0,0
2022-03-25T00:00:00.0000000,COHR,"Coherent, Inc.",Technology,Scientific & Technical Instruments,USA,0,272.82,0,0
2022-03-25T00:00:00.0000000,USAC,"USA Compression Partners, LP",Energy,Oil & Gas Equipment & Services,USA,0,18.18,0,0
2022-03-25T00:00:00.0000000,CPLP,Capital Product Partners L.P.,Industrials,Marine Shipping,Greece,0,18.49,0,0
2022-03-28T00:00:00.0000000,ICL,ICL Group Ltd,Basic Materials,Agricultural Inputs,Israel,0,12.44,0,0
2022-03-28T00:00:00.0000000,NFG,National Fuel Gas Company,Energy,Oil & Gas Integrated,USA,0,69.28,0,0
2022-03-28T00:00:00.0000000,CUTR,"Cutera, Inc.",Healthcare,Medical Devices,USA,0,60.92,0,0
2022-03-28T00:00:00.0000000,XPOF,"Xponential Fitness, Inc.",Consumer Cyclical,Leisure,USA,0,26.00,0,0
2022-03-28T00:00:00.0000000,CPLP,Capital Product Partners L.P.,Industrials,Marine Shipping,Greece,0,18.68,0,0
2022-03-29T00:00:00.0000000,PLAY,"Dave & Buster's Entertainment, Inc.",Consumer Cyclical,Restaurants,USA,0,49.53,0,0
2022-03-29T00:00:00.0000000,APLE,"Apple Hospitality REIT, Inc.",Real Estate,REIT - Hotel & Motel,USA,0,18.55,0,0
2022-03-29T00:00:00.0000000,WRB,W. R. Berkley Corporation,Financial,Insurance - Property & Casualty,USA,0,66.75,0,0
2022-03-29T00:00:00.0000000,CVI,"CVR Energy, Inc.",Energy,Oil & Gas Refining & Marketing,USA,0,25.08,0,0
