ticker,earliest_date,latest_date,min_price,max_price,price_change,number_of_appearances
ARLP,2022-04-01,2022-05-04,15.49,19.61,26.597805035506774,5
LPG,2022-04-06,2022-05-10,14.84,18.15,22.30458221024258,4
MSP,2022-04-06,2022-04-14,28.51,34.73,21.816906348649578,3
HRB,2022-05-11,2022-05-17,28.41,34.05,19.852164730728607,5
GOGL,2022-04-14,2022-05-19,13.64,16.33,19.721407624633414,3
STNG,2022-04-28,2022-05-16,24.68,29.54,19.692058346839545,5
RCMT,2022-04-29,2022-05-16,17.48,20.64,18.07780320366133,4
IPI,2022-04-07,2022-04-18,101.78,119.5,17.410100216152486,3
AMR,2022-04-12,2022-05-05,142.08,165.54,16.51182432432431,3
SWX,2022-04-04,2022-05-17,80.73,93.24,15.496098104793745,5
TNK,2022-04-07,2022-05-17,16.32,18.6,13.970588235294123,5
LNTH,2022-04-02,2022-04-29,58.36,66.41,13.79369431117203,3
VST,2022-04-05,2022-05-06,23.58,26.62,12.892281594571683,3
EURN,2022-04-04,2022-04-08,11.67,13.1,12.25364181662382,3
ACC,2022-04-14,2022-04-19,57.95,64.8,11.820534943917158,2
GOGO,2022-04-06,2022-04-12,20.65,23.02,11.4769975786925,2
SBOW,2022-04-06,2022-04-18,35.88,39.71,10.674470457079147,4
CEIX,2022-04-12,2022-04-13,42.73,47.2,10.461034402059457,2
AVD,2022-04-11,2022-04-19,21.64,23.84,10.166358595194081,3
CVI,2022-05-03,2022-05-04,29.82,32.74,9.792085848423882,2
BSM,2022-04-04,2022-04-27,14.35,15.72,9.547038327526138,3
FPI,2022-04-08,2022-04-19,14.93,16.29,9.109176155391825,2
BRY,2022-04-07,2022-04-08,11.39,12.42,9.043020193151882,2
SWCH,2022-04-19,2022-05-11,31.0,33.54,8.193548387096772,3
ZNTE,2022-05-05,2022-05-09,10.51,11.32,7.706945765937208,2
LPLA,2022-04-11,2022-04-14,200.26,215.24,7.480275641665844,4
AVT,2022-05-03,2022-05-17,45.07,48.44,7.477257599289988,4
TWI,2022-05-03,2022-05-04,16.14,17.25,6.877323420074346,2
TDW,2022-05-16,2022-05-17,24.96,26.65,6.770833333333324,2
CC,2022-05-03,2022-05-04,38.91,41.51,6.682086867129276,2
CYXT,2022-04-12,2022-04-20,12.83,13.62,6.15744349181605,2
SBS,2022-04-01,2022-04-04,10.56,11.18,5.871212121212113,3
SQM,2022-05-18,2022-05-19,90.21,95.47,5.830839153087247,2
ACHC,2022-04-07,2022-04-13,70.92,75.03,5.795262267343484,4
WFRD,2022-04-12,2022-04-18,36.92,38.98,5.579631635969651,3
K,2022-05-05,2022-05-09,70.65,74.53,5.491861288039625,3
RES,2022-04-04,2022-04-08,11.13,11.73,5.390835579514821,2
SV,2022-04-01,2022-04-13,10.58,11.1,4.914933837429108,4
INSW,2022-04-19,2022-04-28,21.3,22.34,4.8826291079812165,4
ANDE,2022-04-12,2022-04-14,56.05,58.39,4.174843889384484,3
HURN,2022-05-11,2022-05-13,56.57,58.86,4.048082022273288,3
TIMB,2022-04-01,2022-04-02,14.82,15.41,3.9811066126855588,2
UTI,2022-04-20,2022-05-04,10.55,10.96,3.8862559241706176,2
BOX,2022-04-12,2022-04-13,30.52,31.69,3.8335517693315917,2
MAT,2022-05-03,2022-05-04,25.99,26.97,3.7706810311658354,2
GNK,2022-04-14,2022-04-18,24.64,25.56,3.733766233766226,2
GFF,2022-05-16,2022-05-17,30.13,31.24,3.6840358446730814,2
SII,2022-04-18,2022-04-19,54.86,56.84,3.609187021509304,2
DMLP,2022-05-13,2022-05-16,28.11,29.11,3.557452863749555,2
TNP,2022-04-14,2022-04-20,12.15,12.58,3.539094650205759,3
RYI,2022-04-18,2022-04-19,41.47,42.86,3.3518205931999048,2
SOI,2022-05-03,2022-05-04,12.18,12.57,3.201970443349758,2
SWIR,2022-05-16,2022-05-17,20.82,21.46,3.073967339097025,2
VAL,2022-05-03,2022-05-04,56.77,58.38,2.8360049321824894,2
CXW,2022-04-14,2022-04-20,13.45,13.81,2.6765799256505667,3
SMPL,2022-04-14,2022-04-19,43.47,44.57,2.5304807913503597,2
SNY,2022-04-07,2022-04-08,55.52,56.74,2.197406340057635,2
BREZ,2022-04-08,2022-05-06,10.35,10.56,2.028985507246385,2
MUSA,2022-04-18,2022-05-04,241.54,246.2,1.9292870746046191,3
VIV,2022-04-01,2022-04-04,11.46,11.68,1.9197207678882973,3
NGVC,2022-04-20,2022-04-21,23.12,23.5,1.6435986159169507,2
AGRO,2022-04-13,2022-04-18,12.95,13.15,1.5444015444015529,2
GLNG,2022-04-01,2022-04-02,25.05,25.29,0.9580838323353231,2
MMI,2022-04-02,2022-04-05,56.31,56.83,0.9234594210619713,2
NEX,2022-04-01,2022-04-02,10.07,10.16,0.8937437934458774,2
CALM,2022-04-02,2022-04-04,58.7,59.22,0.8858603066439454,2
LXU,2022-04-07,2022-04-08,25.35,25.56,0.8284023668638946,2
CUTR,2022-04-01,2022-04-05,71.74,72.31,0.7945358238082065,3
ICL,2022-04-13,2022-04-14,12.6,12.68,0.6349206349206356,2
SAIL,2022-04-11,2022-04-22,64.08,64.4,0.4993757802746682,3
CHNG,2022-04-05,2022-04-25,23.73,23.84,0.4635482511588683,2
HTGC,2022-04-01,2022-04-02,18.49,18.57,0.4326663061114216,2
